"";"price";"type";"district";"municipality";"street";"c";"link";"condition";"usable_area";"built_up_area";"land_area";"commission_in_price";"rooms"
"21";72000;"Rodinný dom";"okres Poltár";"Hrnčiarske Zalužany";"okres Poltár";NA;"https://www.nehnutelnosti.sk/4985126/predaj-dvojgeneracneho-domu-hrnciarske-zaluzany/";"Pôvodný stav";"130";NA;"1142";"no";NA
"22";107000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985123/predam-pekny-3-izbovy-byt-na-sidlisku-juh-v-novych-zamkoch/";"Kompletná rekonštrukcia";"61,37";NA;"61,37";"no";"3"
"23";99000;"Byt";"okres Nové Mesto nad Váhom";"Nové Mesto nad Váhom";"okres Nové Mesto nad Váhom";NA;"https://www.nehnutelnosti.sk/4985116/2-izbovy-byt-blizko-centra-nove-mesto-nad-vahom/";"Čiastočná rekonštrukcia";NA;NA;"62";"no";"2"
"24";140000;"Rodinný dom";"okres Nitra";"Vráble";"okres Nitra";NA;"https://www.nehnutelnosti.sk/4985114/ponukam-na-predaj-rodinny-dom-v-povodnom-zachovalom-stave-v-tichej-ulicke-vrable-rovinaty-pozemok/";"Pôvodný stav";"80";"80";"1407";"no";NA
"25";NA;"Rodinný dom";"okres Nové Zámky";"Jatov";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985115/hladate-velku-zahradu-s-ovocnymi-stromami-vinicom-zateplenou-garazou-a-inymi-bonusmi/";"Pôvodný stav";"148";"198";"2672";"no";NA
"26";425000;"Rodinný dom";"okres Galanta";"Jelka";"okres Galanta";NA;"https://www.nehnutelnosti.sk/4985113/rodinna-usadlost-na-vidieku/";"Novostavba";"395";NA;"850";"no";NA
"27";113000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985111/na-predaj-3-izbovy-byt-s-loggiou-nove-zamky/";"Kompletná rekonštrukcia";"65";NA;NA;"no";"3"
"28";195000;"Byt";"okres Bratislava";"Bratislava III - Rača";"okres Bratislava";NA;"https://www.nehnutelnosti.sk/4985110/slnecny-kompletne-zrekonstruovany-2-izbovy-byt-na-kadnarovej-ulici-v-bratislave/";"Kompletná rekonštrukcia";"59";NA;NA;"no";"2"
"29";299000;"Rodinný dom";"okres Poprad";"Gánovce";"okres Poprad";NA;"https://www.nehnutelnosti.sk/4985108/rodinny-dom-v-obci-ganovce-okres-poprad/";"Novostavba";"500";"216";"408";"no";NA
"30";110000;"Byt";"okres Levoča";"Levoča";"okres Levoča";NA;"https://www.nehnutelnosti.sk/4985106/byt-3-1-s-loggiou-sidl-zapad-2-levoca/";"Čiastočná rekonštrukcia";"74";"74";NA;"no";"3"
